nom,url,type
Accompagnement psychologique et scolaire Information et conseil en Orientation Scolaire et Professionnelle,http://www.caosp-pikine.gouv.sn/,Portail
ADIE e-Working,conference.sec.gouv.sn,Plate-forme
ADIE Send,https://send.adie.sn,Plate-forme
Agence de gestion du Patrimoine Bâti de l'Etat,http://www.patrimoinebati.gouv.sn/,Agence
Agence de la Construction des Bâtiments et Edifices publics,http://www.acbep.gouv.sn,Agence
Agence de la Couverture Maladie Universelle,http://agencecmu.sn/,Agence
Agence De l'Informatique de l'Etat,http://www.adie.sn/,Agence
Agence de presse sénégalaise,http://www.aps.sn/,Agence
Agence de Sécurité de Proximité,http://www.asp.gouv.sn/,Agence
Agence National des Affaires Maritimes,http://www.anam.gouv.sn/,Agence
Agence Nationale de Statistique et de la Démographie,http://www.ansd.sn,Agence
Agence Nationale pour l'Aménagement du Territoire,http://www.anat.sn/,Agence
AGENCE NATIONALE POUR LA PROMOTION DE L'EMPLOI DES JEUNES,https://www.anpej.sn/,État
Agenge de Developpement Local,https://www.adl.sn,Agence
Air Sénégal,https://flyairsenegal.com/,Service
Annuaire Téléphonique des Agents de l'Etat,annuaire.sec.gouv.sn,Plate-forme
Association des Professeurs Africains de Mathématiques,http://www.apams.gouv.sn/,Portail
Autorité de Radioprotection et de Sûreté nucléaire,http://www.arsn.sn/,Administration
Autorité de Régulation des Marchés publics,http://www.armp.sn/,Administration
Autorité de Régulation des Télécommunications et des Postes,https://www.artpsenegal.net/,Administration
Base de données géospatiales,http://www.basegeo.gouv.sn/,Portail
Boîte à Outils pour les Partenariats Public-Privé,www.ppp.gouv.sn,Plate-forme
Brigade Nationale des Sapeurs Pompiers,http://www.sapeurspompiers.gouv.sn/,Administration
Bulletins de salaire en ligne,esolde.sec.gouv.sn,Plate-forme
Bureau d'appui à la Création d'Entreprise,http://creationdentreprise.sn,Administration
Bureau d'Information Gouvernemental,big.gouv.sn,Portail
Bureau Opérationnel du Suivi du Plan Sénégal Emergent,http://senegal-emergent.com/,Administation
Caisse nationale de crédit agricole du Sénégal,https://www.cncas.sn/,Administration
Carte Nationale,cartenationale.gouv.sn,Portail
Centre de formation professionnelle et technique Sénégal - Japon,http://www.cfpt-sj.sn/,Administration
Centre de gestion de la qualité de l'air,http://www.air-dakar.org,Administration
Centre des Hautes Études de Défense et de Sécurité,cheds.gouv.sn,Administration
Centre d'Etudes de Politiques pour le Développement,http://www.cepod.gouv.sn/,Administration
Centre d'Informations et de Documentation sur les Institutions et la Gouvernance,http://www.dri.gouv.sn/,Administration
Centre Hospitalier Universitaire de Fann,http://www.chnu-fann.com/,Administration
Centre national de Documentation scientifique et technique,http://www.cndst.gouv.sn/,Administration
Centre National d'Information et de la Documentation,http://www.cnid.gouv.sn/,Administration
Comité Interministériel de Lutte contre la Drogue,www.cild.gouv.sn,Portail
Comité National d'Éthique pour la Recherche en Santé,www.cners.gouv.sn,Administration
Commission de Protection des Données Personnelles,http://www.cdp.sn/,Administration
CONFPOL,portailconfpol.sec.gouv.sn,Plate-forme
Conseil Constitutionnel,https://conseilconstitutionnel.sn/,Administration
Conseil Economique Social et Environnemental,http://www.cesesenegal.sn/,Administration
Conseil national de concertation et de coopération des ruraux,http://www.cncr.org/,Administration
