nom,url,type
Agenge de Developpement Local,https://www.adl.sn,Agence
Annuaire Téléphonique des Agents de l'Etat,annuaire.sec.gouv.sn,Plate-forme
Centre de gestion de la qualité de l'air,http://www.air-dakar.org,Administration
Centre d'Etudes de Politiques pour le Développement,http://www.cepod.gouv.sn/,Administration
Centre Hospitalier Universitaire de Fann,http://www.chnu-fann.com/,Administration
CONFPOL,portailconfpol.sec.gouv.sn,Plate-forme
Démarches Administratives du Sénégal,demarches.gouv.sn,Portail
Démarches administratives du Sénégal,http://www.servicepublic.gouv.sn/,Service
Démarches administratives du Sénégal,servicespublics.gouv.sn,Service
DIPLOSEN,diplosen.gouv.sn,Plate-forme
