url,ip,pays
www.ppp.gouv.sn,51.159.14.89,France
entss.sn,74.124.210.46,United States
http://www.aps.sn/,51.91.252.233,France
http://www.anat.sn/,208.91.198.170,United States
https://www.anpej.sn/,199.79.62.10,United States
https://www.adl.sn,162.251.80.27,United States
https://flyairsenegal.com/,213.251.131.227,France
https://amendes.sn,13.225.244.42,Ireland
http://www.arsn.sn/,162.241.86.248,United States
http://www.armp.sn/,81.88.48.95,Italy
http://senegal-emergent.com/,151.236.56.235,United Kingdom
https://www.cncas.sn/,185.2.4.124,United Kingdom
http://www.cfpt-sj.sn/,83.166.138.123,Switzerland
http://www.cesesenegal.sn/,162.215.254.164,United States
http://www.cncr.org/,185.2.5.45,Italy
http://www.courdescomptes.sn/,185.2.4.98,United Kingdom
https://dge.sn,164.132.235.17,France
http://www.dpee.sn,91.136.8.128,United Kingdom
https://www.directiondesbourses.sn,198.12.218.167,United States
http://www.eaux-forets.sn/,199.79.62.157,United States
http://dtgc.au-senegal.com/,139.99.62.134,Singapore
http://WWW.dci-sn.sn/,205.134.255.124,United States
http://www.volontaires.sn/,185.221.182.166,France
https://www.sentresor.org,163.172.228.184,France
http://www.douanes.sn/,213.186.33.40,France
http://ept.sn/,109.234.161.241,France
https://esp.sn/,45.157.189.147,Switzerland
http://www.3fpt.sn/,104.26.2.23,Canada
http://www.3fpt.sn/,104.26.3.23,Canada
http://www.3fpt.sn/,172.67.72.207,Canada
https://www.gendarmerie.sn/,172.67.206.102,Canada
https://www.gendarmerie.sn/,104.21.93.71,Canada
https://www.groupeisi.com,91.234.195.181,France
https://www.lacgaa.org/,34.174.6.33,United States
https://www.lonase.sn/,46.105.204.23,France
http://www.anat.sn/OCNI,208.91.198.170,United States
http://www.officedubac.sn,46.105.204.27,France
https://www.onas.sn/,84.16.66.164,Switzerland
https://www.campusen.sn/,40.69.76.42,Ireland
http://www.presidence.sn/,104.21.88.170,Canada
http://www.presidence.sn/,172.67.151.110,Canada
http://www.investinsenegal.com/,191.96.144.120,United States
http://www.rts.sn/,152.228.156.186,France
http://www.sde.sn/,94.23.180.66,France
http://www.petrosen.sn/,192.99.13.83,Canada
http://www.snhlm.sn/,20.85.148.208,United States
http://tele-ecole.tv/,152.228.156.186,France
https://www.ucad.sn/,154.65.39.1,United Kingdom
http://www.ussein.sn/,208.91.199.122,United States
https://villededakar.sn/,206.189.107.193,The Netherlands
https://www.campusen.sn/,40.69.76.42,Ireland
https://aibd.sn/,34.155.60.68,France
https://villedepikine.sn/,128.65.195.112,Switzerland
https://villedesaintlouis.sn,178.32.77.113,Ireland
https://villedepikine.sn/,128.65.195.112,Switzerland
https://www.secnsa.sn/,51.178.219.35,Belgium
https://www.aner.sn/,213.186.33.18,France
https://www.anacim.sn/,69.49.246.137,United States
