url,ip
http://www.caosp-pikine.gouv.sn/,160.0.176.70
https://send.adie.sn,160.0.176.66
http://www.patrimoinebati.gouv.sn/,160.0.176.81
http://www.acbep.gouv.sn,160.0.176.70
http://agencecmu.sn/,160.0.176.70
http://www.adie.sn/,160.0.176.70
http://www.aps.sn/,51.91.252.233
http://www.asp.gouv.sn/,160.0.176.70
http://www.anam.gouv.sn/,160.0.176.70
http://www.ansd.sn,41.208.179.204
http://www.anat.sn/,208.91.198.170
https://www.anpej.sn/,199.79.62.10
https://www.adl.sn,162.251.80.27
https://flyairsenegal.com/,213.251.131.227
https://amendes.sn,13.225.244.42
annuaire.sec.gouv.sn,
http://www.apams.gouv.sn/,160.0.176.70
http://www.arsn.sn/,162.241.86.248
http://www.armp.sn/,81.88.48.95
https://artp.sn,196.207.243.182
http://www.basegeo.gouv.sn/,
http://www.sapeurspompiers.gouv.sn/,160.0.176.70
http://creationdentreprise.sn,
http://senegal-emergent.com/,151.236.56.235
https://www.cncas.sn/,185.2.4.124
http://www.cfpt-sj.sn/,83.166.138.123
http://www.air-dakar.org,
http://www.cepod.gouv.sn/,160.0.176.70
http://www.dri.gouv.sn/,160.0.176.70
http://www.chnu-fann.com/,
http://www.cndst.gouv.sn/,160.0.176.70
http://www.cnid.gouv.sn/,160.0.176.70
http://www.cdp.sn/,160.0.176.70
https://www.cena.sn,41.208.150.114
https://crse.sn/,160.0.176.116
https://conseilconstitutionnel.sn/,160.0.176.70
http://www.cesesenegal.sn/,162.215.254.164
http://www.cncr.org/,185.2.5.45
http://www.courdescomptes.sn/,185.2.4.98
https://dge.sn,164.132.235.17
https://www.dgid.sn/etax/,41.82.206.10
http://www.servicepublic.gouv.sn/,160.0.176.72
servicespublics.gouv.sn,
http://www.dpee.sn,91.136.8.128
http://www.surveillance-peches.gouv.sn/,160.0.176.70
http://drs-sfd.gouv.sn/,160.0.177.93
http://www.sira.gouv.sn,
http://www.direction-emploi.gouv.sn,160.0.177.62
http://www.damcp.gouv.sn/,160.0.176.70
http://www.archivesdusenegal.gouv.sn/,160.0.176.81
http://www.dna.finances.gouv.sn/,41.208.146.11
https://www.directiondesbourses.sn,198.12.218.167
http://www.eaux-forets.sn/,199.79.62.157
http://decpc.infoconsul.net/exam,154.124.94.84
http://www.dri.gouv.sn,160.0.176.70
http://dtgc.au-senegal.com/,139.99.62.134
http://WWW.dci-sn.sn/,205.134.255.124
http://www.volontaires.sn/,185.221.182.166
https://www.sentresor.org,163.172.228.184
http://www.impotsetdomaines.gouv.sn/,160.0.176.81
https://budget.sec.gouv.sn,160.0.176.81
http://www.douanes.sn/,213.186.33.40
http://www.ebad.ucad.sn/,196.1.97.203
http://www.ena.sn/,160.0.176.116
http://ept.sn/,109.234.161.241
https://esp.sn/,45.157.189.147
http://www.armeedeterre.gouv.sn/,160.0.176.81
http://www.unefamilleuntoit.gouv.sn/,160.0.176.81
http://www.fastef.ucad.sn/,196.1.97.203
http://www.femmes-tic.gouv.sn/,160.0.176.81
http://www.3fpt.sn/,104.26.2.23
http://www.3fpt.sn/,104.26.3.23
http://www.3fpt.sn/,172.67.72.207
https://www.gendarmerie.sn/,172.67.206.102
https://www.gendarmerie.sn/,104.21.93.71
https://www.sec.gouv.sn/,160.0.176.116
http://www.hassmar.gouv.sn/,160.0.176.70
http://www.inspection-batiment.gouv.sn/,160.0.176.70
https://www.groupeisi.com,91.234.195.181
http://www.jo.gouv.sn/,160.0.177.62
https://www.lacgaa.org/,34.174.6.33
http://mdiabete.gouv.sn/,160.0.176.70
http://www.mdiabete.sante.gouv.sn/,160.0.176.81
http://www.precaref.gouv.sn/,
http://www.lesoleil.sn/,41.82.206.8
https://www.lonase.sn/,46.105.204.23
http://www.maisondelapresse.gouv.sn/,160.0.176.70
http://www.fbr.sante.gouv.sn/,
http://www.numerique.gouv.sn/,160.0.176.81
http://www.culture.gouv.sn/,160.0.176.70
http://www.famille.gouv.sn/,
http://www.fonctionpublique.gouv.sn/,160.0.176.116
http://www.mfpaa.gouv.sn/,
http://www.decentralisation.gouv.sn/,160.0.176.70
http://www.agriculture.gouv.sn/,160.0.176.116
http://www.jeunesse.gouv.sn/,160.0.176.70
http://www.justice.gouv.sn/,160.0.176.70
http://www.ecomaritime.gouv.sn,
http://www.investissements.gouv.sn/,160.0.176.70
http://www.sante.gouv.sn/,160.0.176.70
http://www.finances.gouv.sn/,213.154.85.238
https://www.senfinances.org,163.172.228.205
http://www.education.sn/,41.208.131.118
www.education.gouv.sn,
http://www.elevage.gouv.sn/,160.0.176.81
http://www.mesr.gouv.sn/,160.0.176.70
http://www.mesr.gouv.sn/,160.0.177.71
http://www.environnement.gouv.sn/,160.0.176.70
http://www.mha.gouv.sn/,
http://www.mianpbg.gouv.sn/,
http://www.interieur.gouv.sn/,160.0.176.81
https://www.urbanisme.gouv.sn/,160.0.176.70
http://www.diplomatie.gouv.sn/,160.0.176.70
http://www.decentralisation.sn/,
http://www.forcesarmees.gouv.sn/,160.0.176.70
http://www.mittd.gouv.sn/,160.0.176.116
http://www.sports.gouv.sn/,160.0.176.70
http://www.commerce.gouv.sn/,160.0.176.70
http://www.energie.gouv.sn/,160.0.176.70
http://www.habitat.gouv.sn/,
http://www.tourisme.gouv.sn/,160.0.176.116
http://www.travail.gouv.sn/,160.0.176.70
https://senegal.un.org/,
http://www.anat.sn/OCNI,208.91.198.170
http://www.officedubac.sn,46.105.204.27
https://www.onas.sn/,84.16.66.164
http://www.ofnac.sn/,160.0.176.116
http://app.planete.education.gouv.sn/,
http://www.pdudakar.gouv.sn/,160.0.176.70
http://pgfe.finances.gouv.sn/portal/,213.154.85.239
forcecovid19diaspora.sec.gouv.sn,
http://www.policenationale.gouv.sn/,160.0.176.116
https://elections.sec.gouv.sn/,160.0.176.105
http://www.marchespublics.sn/,213.154.85.241
http://geossb.gouv.sn/,41.214.25.186
http://sigstat.ansd.sn/,41.214.25.186
http://www.georepertoire.gouv.sn/,160.0.177.84
https://www.campusen.sn/,40.69.76.42
http://www.mirador.education.gouv.sn/,160.0.176.15
http://www.portdakar.sn/,41.208.179.109
http://www.laposte.sn/,41.208.179.63
http://www.presidence.sn/,104.21.88.170
http://www.presidence.sn/,172.67.151.110
https://www.sec.gouv.sn/,160.0.176.116
http://www.codev.gouv.sn/,160.0.177.62
http://www.pepam.gouv.sn/,
http://www.bdpni.gouv.sn/,160.0.177.72
http://www.papa.gouv.sn/,160.0.176.70
http://www.investinsenegal.com/,191.96.144.120
http://www.rts.sn/,152.228.156.186
http://www.sde.sn/,94.23.180.66
https://senegalservices.sn,160.0.176.112
http://www.senelec.sn/,102.36.147.12
http://www.assemblee-nationale.sn/,
http://www.petrosen.sn/,192.99.13.83
http://www.snr.gouv.sn/,160.0.176.70
http://www.snhlm.sn/,20.85.148.208
https://sonatel.sn/,213.154.78.30
http://sigif.gouv.sn/,160.0.177.58
teledac.sec.gouv.sn/,160.0.176.73
http://tele-ecole.tv/,152.228.156.186
http://www.uadb.edu.sn/,41.214.72.54
http://www.uam.sn/,41.82.206.66
http://www.univ-zig.sn/,41.82.212.203
https://www.ucad.sn/,154.65.39.1
https://www.univ-thies.sn/,41.82.212.200
http://www.ussein.sn/,208.91.199.122
http://www.ugb.sn/,196.1.99.10
https://www.unchk.sn/,102.36.138.9
https://villededakar.sn/,206.189.107.193
https://www.campusen.sn/,40.69.76.42
https://aibd.sn/,34.155.60.68
https://villedepikine.sn/,128.65.195.112
https://villedesaintlouis.sn,178.32.77.113
http://mairiederufisque.org/,
http://www.vigeosn.gouv.sn,160.0.177.85
https://villedepikine.sn/,128.65.195.112
https://www.onfp.sn/,160.0.176.116
https://www.adm.sn/,160.0.176.70
https://www.investissements.gouv.sn/apix,160.0.176.70
https://www.secnsa.sn/,51.178.219.35
https://www.aner.sn/,213.186.33.18
https://www.anacim.sn/,69.49.246.137
